Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,F,12/14/1996,,,,,,,,,,,,,,,
Aaron Downey,F,8/27/1974,,,,,,,,,,,,,,,
Aaron Ekblad,D,2/7/1996,,,,,,,,0.03,0.03,0.02,0.02,0.02,0.00,0.00,0.02
Aaron Gagnon,F,4/24/1986,,,,,,,,,,,,,,,
Aaron Johnson,D,4/30/1983,0.07,,0.05,,0.10,,,,,,,,,,
Aaron Miller,D,8/11/1971,,,,,,,,,,,,,,,
Aaron Ness,D,5/18/1990,,,,,,,,,,,,,,,
Aaron Palushaj,F,9/7/1989,,,,,,,,,,,,,,,
Aaron Rome,D,9/27/1983,,,,,,,,,,,,,,,
Aaron Volpatti,F,5/30/1985,,,,,,,,,,,,,,,
Aaron Voros,F,7/2/1981,0.05,0.06,,,,,,,,,,,,,
Aaron Ward,D,1/17/1973,0.01,,,,,,,,,,,,,,
Adam Almquist,D,2/27/1991,,,,,,,,,,,,,,,
Adam Beckman,F,5/10/2001,,,,,,,,,,,,,,,
Adam Berti,F,7/1/1986,,,,,,,,,,,,,,,
Adam Boqvist,D,8/15/2000,,,,,,,,,,,,,0.03,0.02,0.02
Adam Brooks,F,5/6/1996,,,,,,,,,,,,,,,
Adam Burish,F,1/6/1983,,,,,0.00,,,,,,,,,,
Adam Clendening,D,10/26/1992,,,,,,,,0.00,,0.04,,,,,
Adam Cracknell,F,7/15/1985,,,,,,,,,,,,,,,
Adam Erne,F,4/20/1995,,,,,,,,,,,,0.03,0.06,0.00,0.00
Adam Foote,D,7/10/1971,-0.02,,,,,,,,,,,,,,
Adam Fox,D,2/17/1998,,,,,,,,,,,,,0.02,0.00,0.01
Adam Gaudette,F,10/3/1996,,,,,,,,,,,,0.00,0.00,0.00,0.03
Adam Hall,F,8/14/1980,,,,,,,,,,,,,,,
Adam Henrique,F,2/6/1990,,,,,0.02,0.00,0.01,0.02,0.03,0.03,0.01,0.02,0.03,0.02,0.03
Adam Larsson,D,11/12/1992,,,,,0.02,,,,,,,,,,
Adam Lowry,F,3/29/1993,,,,,,,,0.05,,0.05,0.03,,,0.02,0.01
Adam Mair,F,2/15/1979,,,,,,,,,,,,,,,
Adam McQuaid,D,10/12/1986,,,,,,,,,,,,,,,
Adam Pardy,D,3/29/1984,,,,,,,,,,,,,,,
Adam Pelech,D,8/16/1994,,,,,,,,,,,,,,,
Adam Ruzicka,F,5/11/1999,,,,,,,,,,,,,,,
Adrian Aucoin,D,7/3/1973,0.00,0.01,-0.01,0.01,0.03,,,,,,,,,,
Adrian Kempe,F,9/13/1996,,,,,,,,,,,0.00,0.05,0.03,0.01,0.02
Akim Aliu,F,4/24/1989,,,,,,,,,,,,,,,
Alain Nasreddine,D,7/10/1975,,,,,,,,,,,,,,,
Alan Quine,F,2/25/1993,,,,,,,,,,0.00,,,,,
Alec Martinez,D,7/26/1987,,,,0.03,0.00,0.00,0.04,0.03,0.01,0.01,0.02,-0.01,-0.01,-0.01,
Alec Regula,D,8/6/2000,,,,,,,,,,,,,,,
Aleksander Barkov,F,9/2/1995,,,,,,,0.01,0.03,0.01,0.02,0.00,0.01,0.00,0.01,0.02
Aleksi Heponiemi,F,1/9/1999,,,,,,,,,,,,,,,
Aleksi Saarela,F,1/7/1997,,,,,,,,,,,,,,,
Ales Hemsky,F,8/13/1983,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.01,-0.01,,,,,,
Ales Kotalik,F,12/23/1978,0.05,0.04,0.04,0.07,,,,,,,,,,,
Alex Barre-Boulet,F,5/21/1997,,,,,,,,,,,,,,0.00,
Alex Barré-Boulet,F,5/21/1997,,,,,,,,,,,,,,,
Alex Belzile,F,8/31/1991,,,,,,,,,,,,,,,
Alex Biega,D,4/4/1988,,,,,,,,,,,,,,,
Alex Broadhurst,F,3/7/1993,,,,,,,,,,,,,,,
